Horodateur,Nom de la Structure,Thématique de travail,Adresse,Latitude,Longitude,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces,,
23/08/2020 18:06:29,A Vaulxelles,Solidarités  Education,100 Chemin du Gabugy 69120 Vaulx-en-Velin  ,45.77233589999999,4.916877299999999,,,https://vaulx-en-velin.net/annuaire-des-associations/a-vaulx-elles/,,Rhône,,,,
24/08/2020 18:06:29,Accés Romans Université populaire de Romans,Education,20 Rue SAint Antoine 26100 Romans-sur-Isère  ,45.0438582,5.0538815,,,https://www.accesromans.com/,,Drôme,,,,
24/08/2020 18:09:01,Acte Public Compagnie,Champ Culturel Arts,14 Place Lieutenant Morel 69001 Lyon  ,45.7722975,4.826681199999999,,,https://actepublic.fr/,,Rhône,,,,
24/08/2020 18:09:40,ADATE,Solidarités,5 Place SAinte Claire 38000 Grenoble  ,45.1908265,5.731296899999999,,,http://www.adate.org/,,Isère,,,,
,ADDCAES,,Pl Rene Vair 73000 Chambéry  ,45.562183,5.902884999999999,,,https://www.addcaes.org/,,Savoie,,,,
,Africa 50,Solidarités,14 Avenue Berthelot 69007 Lyon  ,45.7470623,4.8357091,,,https://africa50lyon.org/,,Rhône,,,,
,AIR - Accueil Interculturel Royans,Solidarités,7 Rue Pasteur 26190 SAint-Jean-en-Royans  ,45.0181037,5.2905525,,,https://sursaut-citoyen.org/Association-AIR-Accueil-Interculturel-en-Royans,,Vercors,,,,
,Alfa3A service médiation intégration,Solidarités,7 Rue de la Paix 01000 Bourg-en-Bresse  ,46.2037863,5.221823199999999,,,http://www.alfa3a.org/,,Ain,,,,
,ALWANE,Solidarités,30 Avenue Auguste Blanqui 69100 Villeurbanne  ,45.76228450000001,4.8845711,,,www.alwane.org,,Rhône,,,,
,Amal,Artistes,57 Avenue Maréchal Randon 38000 Grenoble  ,45.1938645,5.7327524,,,https://amal38.fr/,,Isère,,,,
,Amicale Laïque Beaubrun,Education,14 Rue Claude Deverchère 42000 SAint-Étienne  ,45.4333477,4.3801312,,,https://www.facebook.com/Amicale-La%C3%AFque-de-Beaubrun-105245517748342/,,Loire,,,,
,Amis du Cinema,Artistes,45 Pl de MontmAin 73400 Ugine  ,45.7538884,6.4183181,,,https://www.amis-du-cinema.com/,,Savoie,,,,
,AMTA,Patrimoine & Mémoire,1 Route d'Ennezat 63200 Riom  ,45.8943453,3.1244012,,,https://lafeuilleamta.fr/,,Auvergne,,,,
,Anagramme,Equipements culturels,6 Rue Raoul Blanchard 38000 Grenoble  ,45.1901544,5.730705899999999,,,https://www.facebook.com/anagramme.grenoble,,Isère,,,,
,Ardèche Afrique Solidaires,Solidarités,1 Boulevard de Lancelot 07000 Privas  ,44.7314883,4.6001618,,,https://www.Ardècheafriquesolidaires.com/,,Ardèche,,,,
,Ardèche Images,Equipements culturels,16 Route de l'Echelette 07170 Lussas  ,44.612075,4.472087999999999,,,http://www.lussasdoc.org/,,Ardèche,,,,
,Armenie Echange et Promotion (AEP),Patrimoine & Mémoire,6 Rue Berthe de Boissieux 38000 Grenoble  ,45.1845952,5.724427899999999,,,https://www.facebook.com/ArmenieEchangePromotion/,,Isère,,,,
,Arteppes,Equipements culturels,Pl SAint Francois de Sales 74000 Annecy  ,45.898878,6.127673799999999,,,https://lemikado.org/culture/larteppes-espace-dart-contemporAin/,,Haute-Savoie,,,,
,Artisans du Monde / Festival des Solidarités,Solidarités,12 Rue Paul Pioda 01000 Bourg-en-Bresse  ,46.207353,5.225867099999999,,,https://www.artisansdumonde.org/les-associations-locales/artisans-du-monde-bourg-en-bresse,,Ain,,,,
,ArTpenteurs,Artistes,308 Avenue Andrei Sakharov 69009 Lyon  ,45.7883744,4.8005701,,,https://les-artpenteurs.com/,,Rhône,,,,
,Association Franco-MarocAine,Solidarités,4 Rue Paul Marechal 01100 Oyonnax  ,46.2604012,5.656124,,,,,Ain,,,,
,Association Solidarité Territoire d'Albertville (ASTA),Solidarités,21 R Georges Lamarque 73200 Albertville  ,45.6680413,6.3774505,,,https://www.facebook.com/AstaSolidariteAlbertville/,,Savoie,,,,
,ASSOFITAL,Education,Rue SAint Martin 26000 Valence  ,44.9330733,4.888008999999999,,,https://associationitalofrancaise.blogspot.com/p/a.html,,Drôme/Ardèche,,,,
,Bibliothèque Municipale de Lyon,Equipements culturels,30 Boulevard Marius Vivier-merle 69003 Lyon  ,45.760656,4.857513400000001,,,https://www.bm-lyon.fr/,,Rhône,,,,
,Café lecture les Augustes,Equipements culturels,5 Rue sous les Augustins 63000 Clermont-Ferrand  ,45.7809377,3.0836013,,,http://www.cafelesaugustes.fr /,,Auvergne,,,,
,Caravane des dix mots,Artistes,Rue SAint Eusèbe 69003 Lyon  ,45.7582398,4.8735078,,,https://www.caravanedesdixmots.com/,,Rhône,,,,
,CENT POUR un toit 01,Solidarités,2 Boulevard Irene Joliot Curie 01000 Bourg-en-Bresse  ,46.2093547,5.232423,,,https://www.facebook.com/centpouruntoit01/about/,,Ain,,,,
,Centre Associatif Boris Vian (CABV),Equipements culturels,13 Avenue Marcel Paul 69200 Vénissieux  ,45.6998899,4.881551099999999,,,https://www.cabv.com/,,Rhône,,,,
,Centre culturel aragon,Equipements culturels,88 Cours de Verdun 01100 Oyonnax  ,46.26138599999999,5.645382,,,https://www.oyonnax.fr/mes-loisirs/culture/centre-culturel/,,Ain,,,,
,Centre culturel Jules-Isaac,Equipements culturels,20 Rue des 4 Passeports 63000 Clermont-Ferrand  ,45.7795614,3.0786044,,,https://culture-juive-clermont.org/,,Auvergne,,,,
,Centre Culturel Le Bief,Equipements culturels,Le Chapeau Rouge 63200 Riom  ,45.8718689,3.136889,,,www.lebief.org,,,,,,
,Centre national de la mémoire arménienne (CNMA),Patrimoine & Mémoire,32 Rue du 24 Avril 1915 69150 Décines-Charpieu  ,45.7682841,4.9466569,,,https://cnma.fr/,,Rhône,,,,
,Centre Regional d'art dramatique,Education,12 Rue Kleber 63100 Clermont-Ferrand  ,45.7929264,3.1137278,,,http://crad.asso.free.fr/,,Auvergne,,,,
,Centre Social Amédée Mercier,Equipements culturels,57 Avenue Amedee Mercier 01000 Bourg-en-Bresse  ,46.2037009,5.24355,,,https://amedeemercier.centres-sociaux.fr/,,Ain,,,,
,Centre Social Bonnefoi,Education,5 Rue Bonnefoi 69003 Lyon  ,45.7555924,4.8456701,,,http://www.csbonnefoi.fr/,,Rhône,,,,
,Centre Social Buers,Education,Rue Pierre-joseph Proudhon 69100 Villeurbanne  ,45.77414479999999,4.8910385,,,https://www.buerscroixluizet.fr/,,Rhône,,,,
,Centre Social Cré-Actifs,Education,3 Rue Gambetta 42500 Le Chambon-Feugerolles  ,45.3964097,4.325790599999999,,,https://www.cre-actifs.fr/,,Loire,,,,
,Centre Social des semailles,Equipements culturels,85 Avenue de l'Europe 69140 Rillieux-la-Pape  ,45.818775,4.9049718,,,,,Rhône,,,,
,Centre Social Grand Vire,Education,23 Rue Jules RomAins 69120 Vaulx-en-Velin  ,45.7783653,4.9193701,,,http://csgrandvire.fr/,,Rhône,,,,
,Centre Social Lévy,Education,Rue André Werth 69120 Vaulx-en-Velin  ,45.78871210000001,4.9144157,,,https://centresocialgeorgeslevy.blogspot.com/,,Rhône,,,,
,Centre Social Ouest,Equipements culturels,1 Place du Marechal Leclerc 01100 Oyonnax  ,46.2568974,5.6440244,,,,,Ain,,,,
,Centres sociaux des Minguettes,Education,5 Rue Aristide Bruant 69200 Vénissieux  ,45.6962522,4.870286,,,https://csxminguettes.fr/,,Rhône,,,,
,Château de Goutelas,Equipements culturels,277 Route de Goutelas 42130 Marcoux  ,45.7220573,4.0084691,,,https://chateaudegoutelas.fr/,,Loire,,,,
,Cie Candide,Artistes,2 Place de la Mairie 38550 Clonas-sur-Varèze  ,45.4142993,4.7904357,,,http://www.cie-candide.com/,,Drome,,,,
,Cie Creabulle,Artistes,Clos des Chartreux 38210 Tullins  ,45.3028808,5.4863037,,,https://www.cie-creabulle.fr/,,Isère,,,,
,Cie du Jour,Artistes,1 Rue Président Carnot 38000 Grenoble  ,45.1920862,5.731301999999999,,,http://www.compagniedujour.net/,,Isère,,,,
,Cie Essentiel Ephémère,Artistes,2 Rue Fernand Rey 69001 Lyon  ,45.7696947,4.8292054,,,https://www.essentielephemere.fr/,,Rhône,,,,
,Cie Les Enfants Sauvages,Artistes,12 Rue Pizay 69001 Lyon  ,45.766776,4.8352628,,,https://cielesenfantssauvages.com/,,Rhône,,,,
,Cie Les Fées Rosses,Artistes,Rue Georges Jacquet 38000 Grenoble  ,45.1869824,5.7046524,,,http://lesfeesrosses.org/wp-content/uploads/2019/06/gensdici-plaquette2019.pdf,,Isère,,,,
,Cie M.A.,Artistes,2 Rue Louis Carrand 69005 Lyon  ,45.76556799999999,4.8285371,,,https://www.guignol-lyon.net/ fbclid=IwAR1jKzZepeOc_3DtTycq-wqsX3bpV--j-NsFx9_4YTKtT9ZL8rJTrDfs9IA,,Rhône,,,,
,Cimade Grenoble,Solidarités,6 Rue Berthe de Boissieux 38000 Grenoble  ,45.1845952,5.724427899999999,,,,,Isère,,,,
,Ciné Parc,Solidarités,Le Fraisse Sud 63880 SAint-Gervais-sous-Meymont  ,45.6572561,3.6022311,,,,,Auvergne,,,,
,Cinéma Cin’étoile,Equipements culturels,1 Route d'Augel 42380 SAint-Bonnet-le-Château  ,45.4213791,4.0643095,,,http://www.cines-haut-forez.fr/index6.php,,Isère,,,,
,Cinéma Le Méliès,Equipements culturels,Allée Henri Frenay 38000 Grenoble  ,45.1828589,5.7246757,,,http://www.laligue38.org/programme,,Isère,,,,
,Cinéma le Rio,Equipements culturels,178 Rue sous les Vignes 63100 Clermont-Ferrand  ,45.8035831,3.10877,,,http://www.cinemalerio.com/,,Auvergne,,,,
,Cinéma le Zola,Equipements culturels,117 Cours Emile Zola 69100 Villeurbanne  ,45.770568,4.874349,,,https://www.lezola.com/,,Rhône,,,,
,Cinéma RegAin,Equipements culturels,3 Montée Chantecler 13011 Marseille  ,43.2832008,5.490550799999999,,,http://www.cinema-leteil.fr/,,Ardèche,,,,
,Cinéma(s) Le(s) Méliè(s),Equipements culturels,10 Place Jean Jaurès 42000 SAint-Étienne  ,45.4417554,4.3875812,,,http://www.lemelies.com/,,Loire,,,,
,Cinémathèque de SAint-Etienne,Equipements culturels,20 Rue Jo Gouttebarge 42000 SAint-Étienne  ,45.4362269,4.381762,,,https://cinematheque.sAint-etienne.fr/,,Loire,,,,
,Cinétoile,Equipements culturels,1 Route d'Augel 42380 SAint-Bonnet-le-Château  ,45.4213791,4.0643095,,,http://www.cines-haut-forez.fr/contact7.php,,Loire,,,,
,CMTRA,Patrimoine & Mémoire,46 Cours Docteur Jean Damidot 69100 Villeurbanne  ,45.7616918,4.8859618,,,,,Rhône,,,,
,Collectif K-LI-P,Artistes,12 Avenue Maréchal Randon 38000 Grenoble  ,45.1984432,5.7380394,,,https://compagnieklip.wixsite.com/k-li-p,,Isère,,,,
,CPA ( Centre du Patrimoine Arménien),Patrimoine & Mémoire,14 Rue Louis Gallet 26000 Valence  ,44.9315125,4.8936753,,,,,Drome,,,,
,Direction des musées départementaux de l'Ain,Collectivités Territoriales,Rue General DelestrAint 01000 Bourg-en-Bresse  ,46.197641,5.219519,,,,,Ain,,,,
,Dôme Théâtre,Equipements culturels,Pl de l'Europe 73200 Albertville  ,45.6761834,6.392432299999999,,,http://www.dometheatre.com,,Savoie,,,,
,Ecarts d'Identité,Médias,5 Place SAinte Claire 38000 Grenoble  ,45.1908265,5.731296899999999,,,,,Isère,,,,
,École de l'oralité,Education,15 Rue Henri Gonnard 42000 SAint-Étienne  ,45.4345047,4.3864687,,,http://www.ecoledeloralite.org/,,Loire,,,,
,Entre-Autres,Education,11 Boulevard de Verdun 01300 Belley  ,45.760918,5.686596,,,http://www.entre-autres.org/,,Ain,,,,
,"Espace Aragon
Cinéma Aragon",Equipements culturels,19 bis Boulevard Jules Ferry 38190 Villard-Bonnot  ,45.238018,5.888927900000001,,,https://www.espace-aragon.fr/,,Ain,,,,
,Espace Pandora,Equipements culturels,8 Place de la Paix 69200 Vénissieux  ,45.698783,4.8844034,,,https://espacepandora.org/,,Rhône,,,,
,"Ethnopôle ""Migrations Frontières Mémoires""",Patrimoine & Mémoire,14 Rue Louis Gallet 26000 Valence  ,44.9315125,4.8936753,,,https://www.le-cpa.com/le-cpa/ethnopole,,Drome,,,,
,Garage et librairie des Bauges,Equipements culturels,104 R de la Republique 73200 Albertville  ,45.6752845,6.388577,,,https://www.librairiedesbauges.fr/,,Savoie,,,,
