Vérifié,Horodateur,Titre de la Soirée,Thématique,Forme,Date,Heure,Lieu,Adresse,Latitude,Longitude,Descriptif court,Organisateur,Partenaires,Prix,Contacts,Site internet,Photos,Departement
oui,19/08/2020 10:29:23,Soiree 1,Expression artistique des personnes migrantes,"Concert, Théâtre",22/10/2020,19:00:00,Ciné Parc,Le Fraisse Sud 63880 Saint-Gervais-sous-Meymont,45.6572561,3.6022311,Description desciption,Ciné Parc,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Rhône
,,Soiree 2,Expression artistique des personnes migrantes,"Concert, Théâtre",18/11/2020,20:00:00,A'vaulxelles,100 Chemin du Gabugy 69120 Vaulx-en-Velin,45.77233589,4.916877299999999,Description desciption,A'vaulxelles,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Rhône
,,Soiree 3,Expression artistique des personnes migrantes,"Concert, Théâtre",24/11/2020,21:00:00,"Accés Romans, Université populaire de Romans",20 Rue Saint Antoine 26100 Romans-sur-Isère,45.0438582,5.0538815,Description desciption,"Accés Romans, Université populaire de Romans",Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Rhône
,,Soiree 4,Travail,"Concert, Théâtre",21/11/2020,22:00:00,Acte Public Compagnie,14 Place Lieutenant Morel 69001 Lyon,45.7722975,4.826681199999999,Description desciption,Acte Public Compagnie,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Isère
,,Soiree 5,Habitat,Exposition,10/11/2020,23:00:00,ADATE,5 Place Sainte Claire 38000 Grenoble,45.1908265,5.731296899999999,Description desciption,ADATE,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Savoie
,,Soiree 6,Expression artistique des personnes migrantes,Exposition,02/12/2020,00:00:00,ADDCAES,Pl Rene Vair 73000 Chambéry,45.562183,5.902884999999999,Description desciption,ADDCAES,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Rhône
,,Soiree 7,Expression artistique des personnes migrantes,Exposition,24/11/2020,01:00:00,Africa 50,14 Avenue Berthelot 69007 Lyon,45.7470623,4.8357091,Description desciption,Africa 50,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Vercors
,,Soiree 8,Expression artistique des personnes migrantes,Exposition,21/11/2020,02:00:00,AIR - Accueil Interculturel Royans,7 Rue Pasteur 26190 Saint-Jean-en-Royans,45.0181037,5.2905525,Description desciption,AIR - Accueil Interculturel Royans,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Ain
,,Soiree 9,Expression artistique des personnes migrantes,Exposition,24/11/2020,03:00:00,"Alfa3A, service médiation intégration",7 Rue de la Paix 01000 Bourg-en-Bresse,46.2037863,5.221823199999999,Description desciption,"Alfa3A, service médiation intégration",Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Rhône
,,Soiree 10,Habitat,Exposition,21/11/2020,04:00:00,ALWANE,30 Avenue Auguste Blanqui 69100 Villeurbanne,45.76228450000001,4.8845711,Description desciption,ALWANE,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Isère
,,Soiree 11,Expression artistique des personnes migrantes,Exposition,21/11/2020,05:00:00,Amal,57 Avenue Maréchal Randon 38000 Grenoble,45.1938645,5.7327524,Description desciption,Amal,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Loire
,,Soiree 12,Expression artistique des personnes migrantes,Exposition,22/11/2020,06:00:00,Amicale Laïque Beaubrun,14 Rue Claude Deverchère 42000 Saint-Étienne,45.4333477,4.3801312,Description desciption,Amicale Laïque Beaubrun,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Savoie
,,Soiree 13,Expression artistique des personnes migrantes,Exposition,23/11/2020,07:00:00,Amis du Cinema,45 Pl de Montmain 73400 Ugine,45.7538884,6.4183181,Description desciption,Amis du Cinema,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Auvergne
,,Soiree 14,Expression artistique des personnes migrantes,Exposition,24/11/2020,08:00:00,AMTA,1 Route d'Ennezat 63200 Riom,45.8943453,3.1244012,Description desciption,AMTA,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Isère
,,Soiree 15,Expression artistique des personnes migrantes,"Concert, Théâtre",21/11/2020,09:00:00,Anagramme,6 Rue Raoul Blanchard 38000 Grenoble,45.1901544,5.730705899999999,Description desciption,Anagramme,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Ardèche
,,Soiree 16,Travail,"Concert, Théâtre",10/11/2020,10:00:00,Ardèche Afrique Solidaires,1 Boulevard de Lancelot 07000 Privas,44.7314883,4.6001618,Description desciption,Ardèche Afrique Solidaires,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Ardèche
,,Soiree 17,Habitat,Film,02/12/2020,11:00:00,Ardèche Images,16 Route de l'Echelette 07170 Lussas,44.612075,4.472087999999999,Description desciption,Ardèche Images,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Isère
,,Soiree 18,Expression artistique des personnes migrantes,Film,24/11/2020,12:00:00,Armenie Echange et Promotion (AEP),6 Rue Berthe de Boissieux 38000 Grenoble,45.1845952,5.724427899999999,Description desciption,Armenie Echange et Promotion (AEP),Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Haute-savoie
,,Soiree 19,Expression artistique des personnes migrantes,Film,22/10/2020,13:00:00,Arteppes,Pl Saint Francois de Sales 74000 Annecy,45.898878,6.127673799999999,Description desciption,Arteppes,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Ain
,,Soiree 20,Expression artistique des personnes migrantes,Film,23/10/2020,14:00:00,Artisans du Monde / Festival des Solidarités,12 Rue Paul Pioda 01000 Bourg-en-Bresse,46.207353,5.225867099999999,Description desciption,Artisans du Monde / Festival des Solidarités,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Rhône
,,Soiree 21,Expression artistique des personnes migrantes,Film,24/10/2020,15:00:00,ArTpenteurs,308 Avenue Andrei Sakharov 69009 Lyon,45.7883744,4.8005701,Description desciption,ArTpenteurs,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Ain
,,Soiree 22,Habitat,Conférence,25/10/2020,16:00:00,Association Franco-Marocaine,4 Rue Paul Marechal 01100 Oyonnax,46.2604012,5.656124,Description desciption,Association Franco-Marocaine,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Savoie
,,Soiree 23,Expression artistique des personnes migrantes,"Concert, Théâtre",26/10/2020,17:00:00,Association Solidarité Territoire d'Albertville (ASTA),21 R Georges Lamarque 73200 Albertville,45.6680413,6.3774505,Description desciption,Association Solidarité Territoire d'Albertville (ASTA),Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,"Drôme, Ardèche"
,,Soiree 24,Expression artistique des personnes migrantes,Conférence,27/10/2020,18:00:00,ASSOFITAL,Rue Saint Martin 26000 Valence,44.9330733,4.888008999999999,Description desciption,ASSOFITAL,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Rhône
,,Soiree 25,Expression artistique des personnes migrantes,Exposition,28/10/2020,19:00:00,Bibliothèque Municipale de Lyon,30 Boulevard Marius Vivier-merle 69003 Lyon,45.760656,4.857513400000001,Description desciption,Bibliothèque Municipale de Lyon,Traces,gratuit,email@gmail.com,http://traces-migrations.org/,,Auvergne
