Latitude,Longitude,Horodateur,Nom de la Structure,Thématique de travail,Adresse,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces
45.77233589999999,4.916877299999999,23/08/2020 18:06:29,A Vaulxelles,Solidarités  Education,100 Chemin du Gabugy 69120 Vaulx-en-Velin  ,,,https://vaulx-en-velin.net/annuaire-des-associations/a-vaulx-elles/,,Rhône,,
45.0438582,5.0538815,24/08/2020 18:06:29,Accés Romans Université populaire de Romans,Education,20 Rue SAint Antoine 26100 Romans-sur-Isère  ,,,https://www.accesromans.com/,,Drôme,,
45.7722975,4.826681199999999,24/08/2020 18:09:01,Acte Public Compagnie,Champ Culturel Arts,14 Place Lieutenant Morel 69001 Lyon  ,,,https://actepublic.fr/,,Rhône,,
45.1908265,5.731296899999999,24/08/2020 18:09:40,ADATE,Solidarités,5 Place SAinte Claire 38000 Grenoble  ,,,http://www.adate.org/,,Isère,,
45.562183,5.902884999999999,,ADDCAES,,Pl Rene Vair 73000 Chambéry  ,,,https://www.addcaes.org/,,Savoie,,
45.7470623,4.8357091,,Africa 50,Solidarités,14 Avenue Berthelot 69007 Lyon  ,,,https://africa50lyon.org/,,Rhône,,
45.0181037,5.2905525,,AIR - Accueil Interculturel Royans,Solidarités,7 Rue Pasteur 26190 SAint-Jean-en-Royans  ,,,https://sursaut-citoyen.org/Association-AIR-Accueil-Interculturel-en-Royans,,Vercors,,
46.2037863,5.221823199999999,,Alfa3A service médiation intégration,Solidarités,7 Rue de la Paix 01000 Bourg-en-Bresse  ,,,http://www.alfa3a.org/,,Ain,,
45.76228450000001,4.8845711,,ALWANE,Solidarités,30 Avenue Auguste Blanqui 69100 Villeurbanne  ,,,www.alwane.org,,Rhône,,
45.1938645,5.7327524,,Amal,Artistes,57 Avenue Maréchal Randon 38000 Grenoble  ,,,https://amal38.fr/,,Isère,,
45.4333477,4.3801312,,Amicale Laïque Beaubrun,Education,14 Rue Claude Deverchère 42000 SAint-Étienne  ,,,https://www.facebook.com/Amicale-La%C3%AFque-de-Beaubrun-105245517748342/,,Loire,,
45.7538884,6.4183181,,Amis du Cinema,Artistes,45 Pl de MontmAin 73400 Ugine  ,,,https://www.amis-du-cinema.com/,,Savoie,,
45.8943453,3.1244012,,AMTA,Patrimoine & Mémoire,1 Route d'Ennezat 63200 Riom  ,,,https://lafeuilleamta.fr/,,Auvergne,,
45.1901544,5.730705899999999,,Anagramme,Equipements culturels,6 Rue Raoul Blanchard 38000 Grenoble  ,,,https://www.facebook.com/anagramme.grenoble,,Isère,,
44.7314883,4.6001618,,Ardèche Afrique Solidaires,Solidarités,1 Boulevard de Lancelot 07000 Privas  ,,,https://www.Ardècheafriquesolidaires.com/,,Ardèche,,
44.612075,4.472087999999999,,Ardèche Images,Equipements culturels,16 Route de l'Echelette 07170 Lussas  ,,,http://www.lussasdoc.org/,,Ardèche,,
45.1845952,5.724427899999999,,Armenie Echange et Promotion (AEP),Patrimoine & Mémoire,6 Rue Berthe de Boissieux 38000 Grenoble  ,,,https://www.facebook.com/ArmenieEchangePromotion/,,Isère,,
